Region;Ecosistema;Especie;Abundancia;Cobertura;Investigadores;Altitud;TemperaturaMedia;PrecipitacionAnual
Amazonas;NA;Mamífero;1559;47,9;28;1287,5;26,7;1756
Andes;Humedal;Ave;2006;54,2;18;2778,8;34,2;1922
Andes;Humedal;Ave;1286;30,5;46;2383,4;17,4;2087
Amazonas;Sabana;Reptil;897;29;41;1462,5;23,1;1479
Pacífico;Humedal;Mamífero;1339;42,2;9;2492,5;16,4;1224
Amazonas;NA;Mamífero;2119;22,4;23;347,1;25,3;2571
Amazonas;Bosque;Ave;2097;48,2;25;3023,6;21,4;2157
Andes;Humedal;Ave;2489;63,7;48;2300,9;24,7;1934
Orinoquía;Humedal;Ave;1004;28,9;26;2256,5;22,3;2152
Andes;Sabana;Reptil;1759;15,6;23;2511,4;27,5;1426
Amazonas;NA;Reptil;1690;12,9;NA;2635,9;27,3;3025
Pacífico;NA;Anfibio;1201;52,4;17;891,4;20,2;1906
Andes;Sabana;Reptil;1504;42,8;35;1206,8;21,3;2039
Orinoquía;Sabana;Reptil;1480;35,6;47;517,6;26,6;2127
Pacífico;NA;Reptil;1272;27,6;NA;439,5;22,1;1526
Amazonas;Humedal;Ave;2045;53,9;17;2207,1;18,3;2083
Pacífico;NA;Reptil;1359;46,1;NA;661,3;16,7;1643
Amazonas;NA;Anfibio;1785;52,1;39;813,8;22,1;1778
Amazonas;NA;Mamífero;1041;10,6;25;1451,3;19,4;3119
Pacífico;NA;Ave;1893;45,6;8;1616,2;30,4;1797
Pacífico;Bosque;Anfibio;576;57,9;16;1109,5;27,6;1777
Pacífico;Humedal;NA;538;37,3;15;3337,1;23,6;1688
Orinoquía;Humedal;Ave;1603;26,8;5;71,3;18,2;2221
Amazonas;Bosque;Anfibio;1517;15,6;NA;1355,8;28,1;2199
Amazonas;Humedal;Mamífero;1550;56,8;45;3028,6;34,5;2192
Andes;NA;Mamífero;2448;32,1;27;2913,9;23,1;1865
Andes;Bosque;Mamífero;1453;27,2;39;3058,1;23,7;2408
Orinoquía;Humedal;Mamífero;1971;51;48;823,5;30,7;1407
Andes;Humedal;Mamífero;1790;15,4;34;2814,4;26,2;2019
Pacífico;Bosque;Ave;2325;18,2;7;2069,9;26,6;1654
Pacífico;NA;Ave;1463;22,2;NA;1655,7;23,3;1771
Orinoquía;Bosque;Ave;1126;63,8;32;3377,6;19,4;1667
Amazonas;Bosque;Ave;1633;58,4;33;2763,3;24,3;1889
Andes;Humedal;Reptil;1669;40,9;9;948,4;28,4;1681
Andes;Sabana;NA;1019;53;10;3050,3;27;2382
Andes;NA;Mamífero;1478;68,2;47;604;27,2;1684
Andes;Bosque;Reptil;1873;19,1;35;2004,9;28,6;1844
Amazonas;NA;Anfibio;1803;21,6;22;2477,8;28,5;2164
Orinoquía;Bosque;Ave;947;41;19;521,5;21,2;2030
Amazonas;NA;Ave;1320;19,6;23;2199,7;23,9;1519
Amazonas;Bosque;Ave;1425;52,9;34;2411,4;18,1;1824
Pacífico;Sabana;Reptil;1683;13,9;19;1214,4;21,7;824
Pacífico;Bosque;Ave;1831;62,1;50;1499,7;27,1;2540
Pacífico;Humedal;NA;1751;39;25;542,5;27,3;2470
Pacífico;Sabana;Mamífero;1351;19,6;50;1930,4;24,7;1982
Andes;Humedal;Mamífero;1999;12,2;27;929,1;26,5;2189
Amazonas;Sabana;Anfibio;2041;30,8;16;797,7;28,3;1561
Orinoquía;Humedal;NA;1889;59,8;12;2740,5;27,6;1350
Pacífico;Sabana;Mamífero;631;20,1;NA;3376,8;23,7;2168
Orinoquía;Sabana;Anfibio;2365;33,4;21;3487,6;26,9;2939
Orinoquía;Humedal;Ave;2060;31,4;10;1400,7;34,8;2158
Amazonas;NA;Mamífero;2208;30,4;38;3391;17,1;1338
Andes;Sabana;NA;1739;31,6;16;523,4;22,3;1497
Orinoquía;Bosque;Mamífero;2057;29,3;23;3082,4;15,5;2184
Orinoquía;Humedal;Reptil;2102;26,1;27;2297,6;29,7;1840
Amazonas;Bosque;Mamífero;2685;10,4;NA;1509,9;21,7;2685
Pacífico;Humedal;Ave;1154;19,1;34;1905,2;26;2244
Pacífico;Humedal;Ave;1597;47,4;7;84,2;37,5;2126
Pacífico;NA;Mamífero;1757;10,8;20;575,4;22,3;2432
Orinoquía;Sabana;Ave;2472;22,9;45;1416,7;22,3;2675
NA;Sabana;Ave;1650;32,5;24;3492,4;30;2384
Amazonas;Humedal;Anfibio;1960;45,4;13;518;28,9;1771
Amazonas;Humedal;Anfibio;1372;12,1;15;1579,9;13;2678
NA;Sabana;Mamífero;971;12,2;35;2783,9;17,8;2286
